MedCodeId	Term	Observations_jun24	old_2021	new_2024
405339016	Cerebrovascular accident	1085587	1	1
605501000006117	CVA unspecified	542832	1	1
605491000006113	CVA - Cerebrovascular accident	231667	1	1
395780010	Cerebral infarction	227398	1	1
481028017	Subarachnoid haemorrhage	188760	1	1
809421000006116	History of cerebrovascular accident	164457	1	1
605461000006117	CVA - cerebrovascular accident due to cerebral artery occlusion	157875	1	1
1222398015	Cerebral arterial occlusion	135859	1	1
5010981000006119	Stroke	120370	1	1
122401000006115	Stroke unspecified	106167	1	1
744901000006114	Intracerebral haemorrhage (ICH)	90849	1	1
300370010	Left sided CVA	78674	1	1
300371014	Right sided CVA	72951	1	1
411518010	H/O: CVA	57754	1	1
605471000006112	Cerebral hemorrhage	52166	1	1
158118014	Cerebellar infarction	43459	1	1
2476091017	H/O: stroke	39652	1	1
451133011	Left sided cerebral infarction	39398	1	1
451134017	Right sided cerebral infarction	34828	1	1
122371000006118	Cerebral haemorrhage	34375	1	1
122361000006113	Stroke due to cerebral arterial occlusion	32950	1	1
118689010	Cerebral thrombosis	26709	1	1
299342019	Lacunar infarction	22820	1	1
884521000006115	Stroke/CVA - undefined	22208	1	1
300298011	Intracranial haemorrhage	18014	1	1
1227591017	[V]Personal history of stroke	17793	1	1
218511000000117	Infarction - cerebral	15807	1	1
502878012	Cerebellar haemorrhage	11601	1	1
2474651019	Infarction of basal ganglia	11360	1	1
884531000006117	Stroke	10794	1	1
300366019	Cerebellar stroke syndrome	9538	1	1
524511000006116	Brainstem stroke syndrome	9176	1	1
4778181000006119	Left sided cerebral hemisphere cerebrovascular accident	9119	1	1
6990981000006114	Ischaemic stroke	8522	1	1
300362017	Middle cerebral artery syndrome	7829	1	1
4778201000006118	Right sided cerebral hemisphere cerebrovascular accident	7552	1	1
125470015	Cerebral embolism	7263	1	1
543141000006110	Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs	5466	1	1
300277011	Intracerebral haemorrhage, intraventricular	4886	1	1
524541000006117	Brain stem infarction	4810	1	1
300321011	Cerebral infarction due to thrombosis of cerebral arteries	4425	1	1
5011091000006110	Partial anterior cerebral circulation infarction	4367	1	1
300287010	Intracerebral haemorrhage NOS	4264	1	1
503791000006114	Basal ganglia haemorrhage	3787	1	1
300257016	Subarachnoid haemorrhage NOS	3616	1	1
808111000006110	H/O subarachnoid haemorrhage	3467	1	1
300364016	Posterior cerebral artery syndrome	3465	1	1
5011131000006112	Posterior cerebral circulation infarction	3241	1	1
300312010	Cerebral infarct due to thrombosis of precerebral arteries	3175	1	1
501622012	Perinatal intraventricular haemorrhage	3103	1	1
